Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Covered_Recipient_NPI,Total_Opioid_Payments
"Collegium Pharmaceutical, Inc.",1801881586.0,18.01
"Collegium Pharmaceutical, Inc.",1811187099.0,31.03
"Collegium Pharmaceutical, Inc.",1821096900.0,59.06
"Collegium Pharmaceutical, Inc.",1831142124.0,66.14
"Collegium Pharmaceutical, Inc.",1831191089.0,108.10000000000001
"Collegium Pharmaceutical, Inc.",1831197946.0,31.95
"Collegium Pharmaceutical, Inc.",1831353507.0,112.27
"Collegium Pharmaceutical, Inc.",1841255643.0,116.11
"Collegium Pharmaceutical, Inc.",1841429156.0,49.24
"Collegium Pharmaceutical, Inc.",1841562899.0,77.55
"Collegium Pharmaceutical, Inc.",1851318307.0,14.99
"Collegium Pharmaceutical, Inc.",1861462798.0,232.75
"Collegium Pharmaceutical, Inc.",1861494023.0,72.22
"Collegium Pharmaceutical, Inc.",1861710980.0,117.37
"Collegium Pharmaceutical, Inc.",1871563411.0,27.3
"Collegium Pharmaceutical, Inc.",1871889691.0,11.86
"Collegium Pharmaceutical, Inc.",1881628154.0,39.33
"Collegium Pharmaceutical, Inc.",1881638781.0,29.299999999999997
"Collegium Pharmaceutical, Inc.",1891144580.0,18.62
"Collegium Pharmaceutical, Inc.",1902049695.0,16.52
"Collegium Pharmaceutical, Inc.",1902109762.0,110.24000000000001
"Collegium Pharmaceutical, Inc.",1902805252.0,77.84
"Collegium Pharmaceutical, Inc.",1902824360.0,195.75
"Collegium Pharmaceutical, Inc.",1902848948.0,15.0
"Collegium Pharmaceutical, Inc.",1902892813.0,83.48
"Collegium Pharmaceutical, Inc.",1902901135.0,19.43
"Collegium Pharmaceutical, Inc.",1912968702.0,82.53
"Collegium Pharmaceutical, Inc.",1912971219.0,12.24
"Collegium Pharmaceutical, Inc.",1912993007.0,11.0
"Collegium Pharmaceutical, Inc.",1922158849.0,66.13
"Collegium Pharmaceutical, Inc.",1922196724.0,31.660000000000004
"Collegium Pharmaceutical, Inc.",1922267327.0,107.72
"Collegium Pharmaceutical, Inc.",1922444793.0,12.11
"Collegium Pharmaceutical, Inc.",1932107588.0,30.28
"Collegium Pharmaceutical, Inc.",1932152089.0,17.78
"Collegium Pharmaceutical, Inc.",1932177086.0,10.42
"Collegium Pharmaceutical, Inc.",1932194701.0,26676.88
"Collegium Pharmaceutical, Inc.",1932362944.0,27.380000000000003
"Collegium Pharmaceutical, Inc.",1932366945.0,109.27
"Collegium Pharmaceutical, Inc.",1932426566.0,156.7
"Collegium Pharmaceutical, Inc.",1932598414.0,87.24
"Collegium Pharmaceutical, Inc.",1942246194.0,125.0
"Collegium Pharmaceutical, Inc.",1942262720.0,12.57
"Collegium Pharmaceutical, Inc.",1952364044.0,15.25
"Collegium Pharmaceutical, Inc.",1952392276.0,12.84
"Collegium Pharmaceutical, Inc.",1952399131.0,15.41
"Collegium Pharmaceutical, Inc.",1962402479.0,16.67
"Collegium Pharmaceutical, Inc.",1962478495.0,21.12
"Collegium Pharmaceutical, Inc.",1972728145.0,125.61
"Collegium Pharmaceutical, Inc.",1972815132.0,13.73
"Collegium Pharmaceutical, Inc.",1972984334.0,122.73
"Collegium Pharmaceutical, Inc.",1982040168.0,16.42
"Collegium Pharmaceutical, Inc.",1982606182.0,48.65
"Collegium Pharmaceutical, Inc.",1982626818.0,201.94
"Collegium Pharmaceutical, Inc.",1982699583.0,11.0
"Collegium Pharmaceutical, Inc.",1992703805.0,129.03
"Collegium Pharmaceutical, Inc.",1992790927.0,61.94
Daiichi Sankyo Inc.,1003826983.0,55.43000000000001
Daiichi Sankyo Inc.,1023245883.0,41.43
Daiichi Sankyo Inc.,1023259801.0,12.11
Daiichi Sankyo Inc.,1033111778.0,46.92
Daiichi Sankyo Inc.,1043255003.0,35.230000000000004
Daiichi Sankyo Inc.,1043292477.0,12.39
Daiichi Sankyo Inc.,1053434399.0,14.41
Daiichi Sankyo Inc.,1073771515.0,22.42
Daiichi Sankyo Inc.,1083607840.0,87.82
Daiichi Sankyo Inc.,1093751034.0,12.11
Daiichi Sankyo Inc.,1104856657.0,12.88
Daiichi Sankyo Inc.,1104912476.0,15.95
Daiichi Sankyo Inc.,1104969708.0,128.75
Daiichi Sankyo Inc.,1114102910.0,36.15
Daiichi Sankyo Inc.,1114932829.0,20.04
Daiichi Sankyo Inc.,1124013511.0,10.87
Daiichi Sankyo Inc.,1124137088.0,56.58
Daiichi Sankyo Inc.,1134276736.0,12.69
Daiichi Sankyo Inc.,1144213646.0,135.35999999999999
Daiichi Sankyo Inc.,1154321891.0,8.89
Daiichi Sankyo Inc.,1154412138.0,12.11
Daiichi Sankyo Inc.,1154532612.0,10.52
Daiichi Sankyo Inc.,1164457263.0,14.12
Daiichi Sankyo Inc.,1164492831.0,29.04
Daiichi Sankyo Inc.,1164594719.0,19.46
Daiichi Sankyo Inc.,1164644548.0,18.3
Daiichi Sankyo Inc.,1174580070.0,12.23
Daiichi Sankyo Inc.,1174596720.0,121.47
Daiichi Sankyo Inc.,1174740419.0,40.370000000000005
Daiichi Sankyo Inc.,1174780829.0,12.13
Daiichi Sankyo Inc.,1184642407.0,18.18
Daiichi Sankyo Inc.,1205834397.0,11.35
Daiichi Sankyo Inc.,1205837051.0,22.04
Daiichi Sankyo Inc.,1225144520.0,24.080000000000002
Daiichi Sankyo Inc.,1235171646.0,10.7
Daiichi Sankyo Inc.,1235249913.0,22.08
Daiichi Sankyo Inc.,1235296039.0,31.12
Daiichi Sankyo Inc.,1245222991.0,21.67
Daiichi Sankyo Inc.,1245225473.0,12.83
Daiichi Sankyo Inc.,1245271568.0,34.86
Daiichi Sankyo Inc.,1245285741.0,19.82
Daiichi Sankyo Inc.,1245394295.0,23.66
Daiichi Sankyo Inc.,1275513145.0,14.77
Daiichi Sankyo Inc.,1275517641.0,11.79
Daiichi Sankyo Inc.,1275585481.0,49.22
Daiichi Sankyo Inc.,1285607002.0,47.67
Daiichi Sankyo Inc.,1295050748.0,18.73
Daiichi Sankyo Inc.,1295737518.0,14.56
Daiichi Sankyo Inc.,1306033014.0,18.03
Daiichi Sankyo Inc.,1306823992.0,10.61
Daiichi Sankyo Inc.,1306837091.0,15.57
Daiichi Sankyo Inc.,1316965643.0,18.18
Daiichi Sankyo Inc.,1326023888.0,118.14
Daiichi Sankyo Inc.,1326093352.0,35.53
Daiichi Sankyo Inc.,1336159508.0,110.44
Daiichi Sankyo Inc.,1346204328.0,10.62
Daiichi Sankyo Inc.,1356338792.0,22.47
Daiichi Sankyo Inc.,1356383368.0,19.49
Daiichi Sankyo Inc.,1356417166.0,35.7
Daiichi Sankyo Inc.,1356786198.0,15.95
Daiichi Sankyo Inc.,1366409062.0,12.23
Daiichi Sankyo Inc.,1366422230.0,14.77
Daiichi Sankyo Inc.,1366555104.0,28.97
Daiichi Sankyo Inc.,1366709602.0,12.68
Daiichi Sankyo Inc.,1386671436.0,0.29
Daiichi Sankyo Inc.,1396737052.0,12.97
Daiichi Sankyo Inc.,1396737805.0,14.83
Daiichi Sankyo Inc.,1396780409.0,31.52
Daiichi Sankyo Inc.,1417225277.0,63.849999999999994
Daiichi Sankyo Inc.,1417915810.0,24.08
Daiichi Sankyo Inc.,1417937715.0,1415.53
Daiichi Sankyo Inc.,1417994682.0,14.09
Daiichi Sankyo Inc.,1427011006.0,108.55
Daiichi Sankyo Inc.,1427021351.0,147.69
Daiichi Sankyo Inc.,1427024728.0,100.53
Daiichi Sankyo Inc.,1427040088.0,10.88
Daiichi Sankyo Inc.,1427056555.0,74.72
Daiichi Sankyo Inc.,1427084607.0,16.24
Daiichi Sankyo Inc.,1427101807.0,16.17
Daiichi Sankyo Inc.,1437149689.0,8.34
Daiichi Sankyo Inc.,1437288776.0,13.63
Daiichi Sankyo Inc.,1437395290.0,14.56
Daiichi Sankyo Inc.,1447287958.0,12.24
Daiichi Sankyo Inc.,1447419981.0,40.04
Daiichi Sankyo Inc.,1447487996.0,25.6
Daiichi Sankyo Inc.,1447591714.0,34.92
Daiichi Sankyo Inc.,1457369233.0,12.41
Daiichi Sankyo Inc.,1457470429.0,18.76
Daiichi Sankyo Inc.,1457630683.0,65.74
Daiichi Sankyo Inc.,1467451476.0,16.27
Daiichi Sankyo Inc.,1487670246.0,14.38
Daiichi Sankyo Inc.,1497738934.0,97.11999999999999
Daiichi Sankyo Inc.,1508184953.0,32.37
Daiichi Sankyo Inc.,1508854274.0,51.7
Daiichi Sankyo Inc.,1518056472.0,130.97
Daiichi Sankyo Inc.,1528066180.0,79.16
Daiichi Sankyo Inc.,1528407392.0,58.79
Daiichi Sankyo Inc.,1538113360.0,42.04
Daiichi Sankyo Inc.,1538328869.0,23.28
Daiichi Sankyo Inc.,1548242886.0,15.57
Daiichi Sankyo Inc.,1548243660.0,12.72
Daiichi Sankyo Inc.,1558351692.0,11.22
Daiichi Sankyo Inc.,1558361790.0,179.81
Daiichi Sankyo Inc.,1558389452.0,10.29
Daiichi Sankyo Inc.,1578851903.0,19.68
Daiichi Sankyo Inc.,1588638894.0,56.81
Daiichi Sankyo Inc.,1588649701.0,124.99000000000001
Daiichi Sankyo Inc.,1598756371.0,15.57
Daiichi Sankyo Inc.,1598759128.0,19.09
Daiichi Sankyo Inc.,1598853301.0,40.94
Daiichi Sankyo Inc.,1619950417.0,11.86
Daiichi Sankyo Inc.,1619975984.0,16.21
Daiichi Sankyo Inc.,1629008172.0,11.59
Daiichi Sankyo Inc.,1629019211.0,21.05
Daiichi Sankyo Inc.,1629066329.0,168.1
Daiichi Sankyo Inc.,1629082763.0,13.3
Daiichi Sankyo Inc.,1629211982.0,21.68
Daiichi Sankyo Inc.,1639118458.0,22.0
Daiichi Sankyo Inc.,1639159510.0,14.77
Daiichi Sankyo Inc.,1639176027.0,21.68
Daiichi Sankyo Inc.,1639460132.0,16.95
Daiichi Sankyo Inc.,1649341983.0,30.84
Daiichi Sankyo Inc.,1649429986.0,12.73
Daiichi Sankyo Inc.,1649569096.0,10.86
Daiichi Sankyo Inc.,1659384014.0,12.81
Daiichi Sankyo Inc.,1669402111.0,11.59
Daiichi Sankyo Inc.,1669427878.0,17.49
Daiichi Sankyo Inc.,1669457982.0,49.129999999999995
Daiichi Sankyo Inc.,1669460481.0,15.94
Daiichi Sankyo Inc.,1669481578.0,47.9
Daiichi Sankyo Inc.,1679540140.0,158.66
Daiichi Sankyo Inc.,1679573398.0,16.17
Daiichi Sankyo Inc.,1679789010.0,61.96
Daiichi Sankyo Inc.,1699719591.0,12.11
Daiichi Sankyo Inc.,1699773051.0,10.39
Daiichi Sankyo Inc.,1699985044.0,49.19
Daiichi Sankyo Inc.,1700838687.0,25.25
Daiichi Sankyo Inc.,1700868502.0,124.69
Daiichi Sankyo Inc.,1710132139.0,73.67
Daiichi Sankyo Inc.,1710195888.0,20.0
Daiichi Sankyo Inc.,1710243787.0,32.37
Daiichi Sankyo Inc.,1710919139.0,17.35
Daiichi Sankyo Inc.,1710938246.0,38.81999999999999
Daiichi Sankyo Inc.,1710947197.0,52.89
Daiichi Sankyo Inc.,1730103177.0,12.77
Daiichi Sankyo Inc.,1740268812.0,12.7
Daiichi Sankyo Inc.,1740275304.0,16.11
Daiichi Sankyo Inc.,1740280304.0,18.49
Daiichi Sankyo Inc.,1740281146.0,124.69
Daiichi Sankyo Inc.,1740287127.0,124.69
Daiichi Sankyo Inc.,1750320461.0,6.88
Daiichi Sankyo Inc.,1750695839.0,12.5
Daiichi Sankyo Inc.,1750762027.0,21.05
Daiichi Sankyo Inc.,1760448468.0,17.36
Daiichi Sankyo Inc.,1760478424.0,16.86
Daiichi Sankyo Inc.,1760531545.0,17.35
Daiichi Sankyo Inc.,1760577324.0,20.55
Daiichi Sankyo Inc.,1760638050.0,19.46
Daiichi Sankyo Inc.,1770558413.0,91.11000000000001
Daiichi Sankyo Inc.,1780612523.0,25.6
Daiichi Sankyo Inc.,1780767319.0,22.55
Daiichi Sankyo Inc.,1780818047.0,23.35
Daiichi Sankyo Inc.,1790047249.0,22.0
Daiichi Sankyo Inc.,1790880003.0,51.86
Daiichi Sankyo Inc.,1801810247.0,12.55
Daiichi Sankyo Inc.,1801824354.0,17.35
Daiichi Sankyo Inc.,1801878145.0,15.57
Daiichi Sankyo Inc.,1801969357.0,119.08000000000001
Daiichi Sankyo Inc.,1811155047.0,36.129999999999995
Daiichi Sankyo Inc.,1811187099.0,31.9
Daiichi Sankyo Inc.,1811949381.0,13.54
Daiichi Sankyo Inc.,1811983927.0,25.21
Daiichi Sankyo Inc.,1821034158.0,16.11
Daiichi Sankyo Inc.,1831191089.0,39.61
Daiichi Sankyo Inc.,1831197946.0,22.88
Daiichi Sankyo Inc.,1831214535.0,12.31
Daiichi Sankyo Inc.,1841223310.0,124.69
Daiichi Sankyo Inc.,1841255643.0,37.39
Daiichi Sankyo Inc.,1841287661.0,46.52
Daiichi Sankyo Inc.,1851318307.0,13.05
Daiichi Sankyo Inc.,1851384085.0,29.91
Daiichi Sankyo Inc.,1861462798.0,152.34
Daiichi Sankyo Inc.,1861494023.0,12.98
Daiichi Sankyo Inc.,1861710980.0,48.36
Daiichi Sankyo Inc.,1881628154.0,10.49
Daiichi Sankyo Inc.,1881638781.0,12.11
Daiichi Sankyo Inc.,1891768511.0,11.05
Daiichi Sankyo Inc.,1902901135.0,75.5
Daiichi Sankyo Inc.,1912907130.0,83.45
Daiichi Sankyo Inc.,1912968702.0,48.18
Daiichi Sankyo Inc.,1922158849.0,15.2
Daiichi Sankyo Inc.,1922196724.0,54.510000000000005
Daiichi Sankyo Inc.,1922267327.0,23.66
Daiichi Sankyo Inc.,1932107588.0,30.83
Daiichi Sankyo Inc.,1932362944.0,26.43
Daiichi Sankyo Inc.,1942294228.0,22.39
Daiichi Sankyo Inc.,1952367401.0,11.91
Daiichi Sankyo Inc.,1952375198.0,124.69
Daiichi Sankyo Inc.,1952398604.0,80.03
Daiichi Sankyo Inc.,1952561631.0,138.41
Daiichi Sankyo Inc.,1962441014.0,10.64
Daiichi Sankyo Inc.,1962443614.0,18.03
Daiichi Sankyo Inc.,1972520401.0,12.51
Daiichi Sankyo Inc.,1972728145.0,15.4
Daiichi Sankyo Inc.,1972815132.0,13.09
Daiichi Sankyo Inc.,1982606182.0,36.08
Daiichi Sankyo Inc.,1982744769.0,19.65
Daiichi Sankyo Inc.,1992700371.0,5.0
Daiichi Sankyo Inc.,1992723035.0,84.96
Daiichi Sankyo Inc.,1992778104.0,14.19
"Depomed, Inc.",1003849902.0,21.16
"Depomed, Inc.",1003857186.0,10.6
"Depomed, Inc.",1013087634.0,24.46
"Depomed, Inc.",1013112184.0,29.11
"Depomed, Inc.",1013295856.0,48.03
"Depomed, Inc.",1013956507.0,21.75
"Depomed, Inc.",1013995588.0,22.53
"Depomed, Inc.",1013998467.0,11.85
"Depomed, Inc.",1023007978.0,14.3
"Depomed, Inc.",1023016755.0,12.27
"Depomed, Inc.",1023073533.0,12.35
"Depomed, Inc.",1023209533.0,25.42
"Depomed, Inc.",1023218815.0,14.64
"Depomed, Inc.",1033111778.0,166.7
"Depomed, Inc.",1033115316.0,131.75
"Depomed, Inc.",1033173224.0,12.11
"Depomed, Inc.",1033202502.0,14.06
"Depomed, Inc.",1033280417.0,33.47
"Depomed, Inc.",1033326772.0,15.79
"Depomed, Inc.",1033327309.0,64.0
"Depomed, Inc.",1033401765.0,13.21
"Depomed, Inc.",1043255003.0,64.14
"Depomed, Inc.",1043257249.0,10.32
"Depomed, Inc.",1053311761.0,37.13
"Depomed, Inc.",1053315523.0,86.9
"Depomed, Inc.",1053327106.0,31.67
"Depomed, Inc.",1053332601.0,14.0
"Depomed, Inc.",1053335307.0,10.32
"Depomed, Inc.",1053351924.0,13.0
"Depomed, Inc.",1053363234.0,52.940000000000005
"Depomed, Inc.",1053434399.0,51.4
"Depomed, Inc.",1053570531.0,27.22
"Depomed, Inc.",1053687053.0,36.39
"Depomed, Inc.",1063457596.0,15.06
"Depomed, Inc.",1063483527.0,31.46
"Depomed, Inc.",1063488781.0,14.96
"Depomed, Inc.",1063496297.0,47.06999999999999
"Depomed, Inc.",1073504692.0,17.73
"Depomed, Inc.",1073515375.0,57.89
"Depomed, Inc.",1073530424.0,18.01
"Depomed, Inc.",1073567087.0,29.67
"Depomed, Inc.",1073573929.0,99.98
"Depomed, Inc.",1073587515.0,16.65
"Depomed, Inc.",1073657334.0,11.86
"Depomed, Inc.",1073771515.0,37.7
"Depomed, Inc.",1083607840.0,87.53
"Depomed, Inc.",1083689301.0,152.59
"Depomed, Inc.",1083693089.0,24.33
"Depomed, Inc.",1093713968.0,38.39
"Depomed, Inc.",1093892192.0,13.9
"Depomed, Inc.",1093936437.0,12.71
"Depomed, Inc.",1104856657.0,40.78
"Depomed, Inc.",1104901883.0,12.15
"Depomed, Inc.",1104912476.0,25.990000000000002
"Depomed, Inc.",1104939495.0,10.72
"Depomed, Inc.",1104969708.0,209.67000000000002
"Depomed, Inc.",1114102910.0,92.00999999999999
"Depomed, Inc.",1114185402.0,35.91
"Depomed, Inc.",1114189792.0,214.32999999999998
"Depomed, Inc.",1114289865.0,13.01
"Depomed, Inc.",1114908712.0,113.64
"Depomed, Inc.",1114932829.0,12.39
"Depomed, Inc.",1124015367.0,34.26
"Depomed, Inc.",1124059464.0,29.35
"Depomed, Inc.",1124083555.0,46.25
"Depomed, Inc.",1124137088.0,119.84
"Depomed, Inc.",1124227103.0,26.96
"Depomed, Inc.",1134136385.0,23.6
"Depomed, Inc.",1134192610.0,52.0
"Depomed, Inc.",1134276736.0,120.48
"Depomed, Inc.",1144213646.0,17.72
"Depomed, Inc.",1144242660.0,19.46
"Depomed, Inc.",1144258138.0,234.63
"Depomed, Inc.",1144292640.0,13.69
"Depomed, Inc.",1144292764.0,11.75
"Depomed, Inc.",1144353525.0,104.51
"Depomed, Inc.",1154321891.0,17.42
"Depomed, Inc.",1154328136.0,133.99
"Depomed, Inc.",1154331452.0,14.65
"Depomed, Inc.",1154335321.0,14.11
"Depomed, Inc.",1154344877.0,22.0
"Depomed, Inc.",1154351294.0,11.15
"Depomed, Inc.",1154372290.0,23.98
"Depomed, Inc.",1154396802.0,37.94
"Depomed, Inc.",1154491785.0,23.33
"Depomed, Inc.",1154532612.0,11.16
"Depomed, Inc.",1154567311.0,17.11
"Depomed, Inc.",1154648772.0,38.29
"Depomed, Inc.",1154696326.0,16.52
"Depomed, Inc.",1154705689.0,174.24
"Depomed, Inc.",1164420717.0,11.18
"Depomed, Inc.",1164422754.0,76.63
"Depomed, Inc.",1164424347.0,38.019999999999996
"Depomed, Inc.",1164472486.0,13.98
"Depomed, Inc.",1164486247.0,15.95
"Depomed, Inc.",1164490025.0,14.0
"Depomed, Inc.",1164587697.0,69.12
"Depomed, Inc.",1164622841.0,76.73
"Depomed, Inc.",1164644548.0,48.82
"Depomed, Inc.",1174526180.0,29.78
"Depomed, Inc.",1174593958.0,136.7
"Depomed, Inc.",1174690879.0,43.06
"Depomed, Inc.",1174708267.0,19.92
"Depomed, Inc.",1174740419.0,126.19
"Depomed, Inc.",1174751929.0,126.73
"Depomed, Inc.",1174819148.0,30.27
"Depomed, Inc.",1184622391.0,22.14
"Depomed, Inc.",1184642407.0,16.16
"Depomed, Inc.",1184660474.0,79.67
"Depomed, Inc.",1184689648.0,26.09
"Depomed, Inc.",1194722280.0,56.64
"Depomed, Inc.",1194731547.0,62.69
"Depomed, Inc.",1194777466.0,49.16
"Depomed, Inc.",1194780528.0,46.25
"Depomed, Inc.",1194911727.0,12.06
"Depomed, Inc.",1205808151.0,36.0
"Depomed, Inc.",1205837051.0,66.93
"Depomed, Inc.",1205851219.0,66.22
"Depomed, Inc.",1205883139.0,74.97
"Depomed, Inc.",1205888377.0,14.99
"Depomed, Inc.",1215934666.0,12.27
"Depomed, Inc.",1215980818.0,11.06
"Depomed, Inc.",1215984760.0,18.31
"Depomed, Inc.",1215990585.0,28.98
"Depomed, Inc.",1225023138.0,40.36
"Depomed, Inc.",1225090244.0,15.82
"Depomed, Inc.",1225144520.0,129.66
"Depomed, Inc.",1225357064.0,113.64
"Depomed, Inc.",1235192154.0,37.76
"Depomed, Inc.",1235215567.0,11.13
"Depomed, Inc.",1235224841.0,11.13
"Depomed, Inc.",1235249913.0,13.57
"Depomed, Inc.",1235296039.0,16.37
"Depomed, Inc.",1235427246.0,64.21
"Depomed, Inc.",1235578139.0,116.12
"Depomed, Inc.",1235581281.0,118.0
"Depomed, Inc.",1245214337.0,84.84
"Depomed, Inc.",1245222991.0,95.33
"Depomed, Inc.",1245224302.0,13.01
"Depomed, Inc.",1245225473.0,154.65
"Depomed, Inc.",1245285741.0,128.23
"Depomed, Inc.",1245394295.0,10.52
"Depomed, Inc.",1255316386.0,32.08
"Depomed, Inc.",1255327185.0,13.29
"Depomed, Inc.",1255331088.0,24.3
"Depomed, Inc.",1255338182.0,99.98
"Depomed, Inc.",1255338752.0,39.230000000000004
"Depomed, Inc.",1255353306.0,20.27
"Depomed, Inc.",1255385662.0,18.64
"Depomed, Inc.",1255449476.0,13.1
"Depomed, Inc.",1265548648.0,44.93
"Depomed, Inc.",1275513145.0,19.05
"Depomed, Inc.",1275523052.0,10.64
"Depomed, Inc.",1275525503.0,23.55
"Depomed, Inc.",1275525768.0,14.34
"Depomed, Inc.",1275543571.0,174.48
"Depomed, Inc.",1275585481.0,117.66
"Depomed, Inc.",1275623506.0,35.25
"Depomed, Inc.",1275649212.0,17.26
"Depomed, Inc.",1275691982.0,20.23
"Depomed, Inc.",1285696948.0,34.120000000000005
"Depomed, Inc.",1285799379.0,24.46
"Depomed, Inc.",1285847699.0,74.49
"Depomed, Inc.",1295723047.0,86.96
"Depomed, Inc.",1295728285.0,24.38
"Depomed, Inc.",1295733301.0,157.11
"Depomed, Inc.",1295736742.0,27.68
"Depomed, Inc.",1295931038.0,19.62
"Depomed, Inc.",1306827092.0,11.98
"Depomed, Inc.",1306882725.0,10.74
"Depomed, Inc.",1306931662.0,16.35
"Depomed, Inc.",1306935036.0,44.9
"Depomed, Inc.",1316042591.0,26.17
"Depomed, Inc.",1316998545.0,20.27
"Depomed, Inc.",1326023888.0,178.52
"Depomed, Inc.",1326075482.0,99.98
"Depomed, Inc.",1326077322.0,11.0
"Depomed, Inc.",1326087362.0,12.35
"Depomed, Inc.",1326093352.0,57.15
"Depomed, Inc.",1326257734.0,15.14
"Depomed, Inc.",1326289836.0,40.51
"Depomed, Inc.",1336124916.0,14.98
"Depomed, Inc.",1336140599.0,18.6
"Depomed, Inc.",1336149186.0,11.6
"Depomed, Inc.",1336159508.0,24.560000000000002
"Depomed, Inc.",1346203437.0,10.52
"Depomed, Inc.",1346268000.0,132.69
"Depomed, Inc.",1346280088.0,11.05
"Depomed, Inc.",1346283637.0,51.59
"Depomed, Inc.",1356303952.0,104.0
"Depomed, Inc.",1356306534.0,11.52
"Depomed, Inc.",1356338792.0,36.519999999999996
"Depomed, Inc.",1356360085.0,51.13
"Depomed, Inc.",1356374193.0,17.09
"Depomed, Inc.",1356375711.0,194.52
"Depomed, Inc.",1356380109.0,38.45
"Depomed, Inc.",1356382618.0,17.84
"Depomed, Inc.",1356383368.0,13.33
"Depomed, Inc.",1356417166.0,74.71000000000001
"Depomed, Inc.",1356458574.0,44.220000000000006
"Depomed, Inc.",1366402208.0,24.75
"Depomed, Inc.",1366409062.0,11.26
"Depomed, Inc.",1366435232.0,81.78
"Depomed, Inc.",1366448391.0,13.68
"Depomed, Inc.",1366485583.0,12.3
"Depomed, Inc.",1366494296.0,104.0
"Depomed, Inc.",1366499758.0,11.15
"Depomed, Inc.",1366555104.0,14.88
"Depomed, Inc.",1366563744.0,77388.6
"Depomed, Inc.",1366656712.0,14.5
"Depomed, Inc.",1376515122.0,13.33
"Depomed, Inc.",1376515999.0,17.43
"Depomed, Inc.",1376524520.0,13.18
"Depomed, Inc.",1376568279.0,22.91
"Depomed, Inc.",1376569418.0,11.15
"Depomed, Inc.",1376582841.0,10.74
"Depomed, Inc.",1376648238.0,12.84
"Depomed, Inc.",1386616175.0,23.73
"Depomed, Inc.",1386671436.0,12.14
"Depomed, Inc.",1386829802.0,19.87
"Depomed, Inc.",1396707188.0,12.3
"Depomed, Inc.",1396737805.0,16.23
"Depomed, Inc.",1396774279.0,25.09
"Depomed, Inc.",1396847968.0,34.730000000000004
"Depomed, Inc.",1407111404.0,19.53
"Depomed, Inc.",1407959000.0,14.64
"Depomed, Inc.",1417094186.0,19.29
"Depomed, Inc.",1417118506.0,68.39
"Depomed, Inc.",1417186156.0,25.56
"Depomed, Inc.",1417225277.0,24.66
"Depomed, Inc.",1417937715.0,13.33
"Depomed, Inc.",1427013853.0,46.25
"Depomed, Inc.",1427020874.0,31.46
"Depomed, Inc.",1427021351.0,137.97
"Depomed, Inc.",1427021674.0,17.43
"Depomed, Inc.",1427024728.0,56.56
"Depomed, Inc.",1427040088.0,11.0
"Depomed, Inc.",1427041821.0,15.46
"Depomed, Inc.",1427050913.0,32.77
"Depomed, Inc.",1427055755.0,208.31
"Depomed, Inc.",1427056555.0,96.92999999999999
"Depomed, Inc.",1427088525.0,55.16
"Depomed, Inc.",1427101807.0,13.29
"Depomed, Inc.",1427113349.0,12.28
"Depomed, Inc.",1437124468.0,129.38
"Depomed, Inc.",1437124724.0,48.64
"Depomed, Inc.",1437140837.0,15.25
"Depomed, Inc.",1437151677.0,12.88
"Depomed, Inc.",1437288776.0,187.64
"Depomed, Inc.",1437310448.0,206.09
"Depomed, Inc.",1437392115.0,20.27
"Depomed, Inc.",1447200258.0,24.86
"Depomed, Inc.",1447220272.0,30.82
"Depomed, Inc.",1447229034.0,132.69
"Depomed, Inc.",1447287958.0,27.07
"Depomed, Inc.",1447419981.0,58.31
"Depomed, Inc.",1447454269.0,16313.8
"Depomed, Inc.",1447542469.0,32.72
"Depomed, Inc.",1447665393.0,19.94
"Depomed, Inc.",1457325227.0,28.61
"Depomed, Inc.",1457356503.0,27.5
"Depomed, Inc.",1457369233.0,26.31
"Depomed, Inc.",1457470429.0,28.060000000000002
"Depomed, Inc.",1467417733.0,11.52
"Depomed, Inc.",1467426916.0,16.65
"Depomed, Inc.",1467428979.0,15.26
"Depomed, Inc.",1467432328.0,99.98
"Depomed, Inc.",1467451476.0,42.61
"Depomed, Inc.",1467482760.0,33.6
"Depomed, Inc.",1467489344.0,22.0
"Depomed, Inc.",1477511640.0,11.0
"Depomed, Inc.",1477530574.0,10.93
"Depomed, Inc.",1477545598.0,13.96
"Depomed, Inc.",1477545952.0,13.96
"Depomed, Inc.",1477578573.0,108.12
"Depomed, Inc.",1477582682.0,13.37
"Depomed, Inc.",1477583920.0,40.78
"Depomed, Inc.",1477628733.0,39.4
"Depomed, Inc.",1477781243.0,26.630000000000003
"Depomed, Inc.",1477841468.0,12.41
"Depomed, Inc.",1487631214.0,12.49
"Depomed, Inc.",1487668174.0,44.93
"Depomed, Inc.",1487966073.0,14.58
"Depomed, Inc.",1497713861.0,29.67
"Depomed, Inc.",1497725709.0,11.86
"Depomed, Inc.",1497738934.0,26.61
"Depomed, Inc.",1497750905.0,75.21000000000001
"Depomed, Inc.",1497755631.0,53.730000000000004
"Depomed, Inc.",1497789135.0,63.449999999999996
"Depomed, Inc.",1497795058.0,23.759999999999998
"Depomed, Inc.",1497803514.0,31.82
"Depomed, Inc.",1508071952.0,37.95
"Depomed, Inc.",1508184953.0,54.48
"Depomed, Inc.",1508807330.0,137.22
"Depomed, Inc.",1508845504.0,15.54
"Depomed, Inc.",1508854274.0,9409.9
"Depomed, Inc.",1518056472.0,65.78
"Depomed, Inc.",1518173558.0,12.71
"Depomed, Inc.",1528051224.0,14.87
"Depomed, Inc.",1528051257.0,14.87
